Sample ID,BeadChip Barcode,Sentrix Position,Plate Number,Well Position,Collected Gender
7815319,206680900017,R04C01,Plate_12,D05,Female
7816382,206680900017,R05C01,Plate_12,E05,Female
7816416,206680900017,R06C01,Plate_12,F05,Female
7816440,206680900017,R07C01,Plate_12,G05,Male
7816473,206680900017,R08C01,Plate_12,H05,Male
7837958,206680900021,R01C01,Plate_12,A06,Male
7851066,206680900021,R02C01,Plate_12,B06,Male
7851090,206680900021,R03C01,Plate_12,C06,Female
7851124,206680900021,R04C01,Plate_12,D06,Male
7814957,206680900021,R05C01,Plate_12,E06,Female
7816325,206680900021,R06C01,Plate_12,F06,Male
7816507,206680900021,R07C01,Plate_12,G06,Male
7816549,206680900021,R08C01,Plate_12,H06,Female
7816598,206680900022,R01C01,Plate_12,A07,Female
7816622,206680900022,R02C01,Plate_12,B07,Male
7837982,206680900022,R03C01,Plate_12,C07,Male
7838014,206680900022,R04C01,Plate_12,D07,Male
7838048,206680900022,R05C01,Plate_12,E07,Male
7838071,206680900022,R06C01,Plate_12,F07,Male
7838105,206680900022,R07C01,Plate_12,G07,Male
7838139,206680900022,R08C01,Plate_12,H07,Female
7815723,206680900024,R01C01,Plate_12,A08,Female
7815756,206680900024,R02C01,Plate_12,B08,Female
7816655,206680900024,R03C01,Plate_12,C08,Male
7816689,206680900024,R04C01,Plate_12,D08,Female
7816713,206680900024,R05C01,Plate_12,E08,Female
7838162,206680900024,R06C01,Plate_12,F08,Male
7850191,206680900024,R07C01,Plate_12,G08,Female
7850225,206680900024,R08C01,Plate_12,H08,Male
7850258,206680900025,R01C01,Plate_12,A09,Male
7850282,206680900025,R02C01,Plate_12,B09,Female
7815780,206680900025,R03C01,Plate_12,C09,Male
7815814,206680900025,R04C01,Plate_12,D09,Male
7815848,206680900025,R05C01,Plate_12,E09,Male
7816754,206680900025,R06C01,Plate_12,F09,Male
7816788,206680900025,R07C01,Plate_12,G09,Female
7839152,206680900025,R08C01,Plate_12,H09,Male
7839186,206680900026,R01C01,Plate_12,A10,Male
7839210,206680900026,R02C01,Plate_12,B10,Male
7839244,206680900026,R03C01,Plate_12,C10,Male
7850316,206680900026,R04C01,Plate_12,D10,Male
7850340,206680900026,R05C01,Plate_12,E10,Male
7850373,206680900026,R06C01,Plate_12,F10,Female
7850670,206680900026,R07C01,Plate_12,G10,Male
7850704,206680900026,R08C01,Plate_12,H10,Female
7817315,206680900048,R01C01,Plate_12,A11,Male
7817349,206680900048,R02C01,Plate_12,B11,Female
7817372,206680900048,R03C01,Plate_12,C11,Male
7817406,206680900048,R04C01,Plate_12,D11,Male
7839277,206680900048,R05C01,Plate_12,E11,Male
7839301,206680900048,R06C01,Plate_12,F11,Male
7839335,206680900048,R07C01,Plate_12,G11,Male
7839368,206680900048,R08C01,Plate_12,H11,Male
7848518,206680900052,R01C01,Plate_12,A12,Male
7848542,206680900052,R02C01,Plate_12,B12,Male
7848575,206680900052,R03C01,Plate_12,C12,Male
7849474,206680900052,R04C01,Plate_12,D12,Male
7849508,206680900052,R05C01,Plate_12,E12,Male
7850407,206680900052,R06C01,Plate_12,F12,Male
7817430,206680900052,R07C01,Plate_12,G12,Male
7817463,206680900052,R08C01,Plate_12,H12,Female
7817497,206680910008,R01C01,Plate_13,A01,Male
7817521,206680910008,R02C01,Plate_13,B01,Female
7848609,206680910008,R03C01,Plate_13,C01,Male
7848633,206680910008,R04C01,Plate_13,D01,Male
7848666,206680910008,R05C01,Plate_13,E01,Female
7848690,206680910008,R06C01,Plate_13,F01,Female
7848724,206680910008,R07C01,Plate_13,G01,Male
7849532,206680910008,R08C01,Plate_13,H01,Male
7849565,206675210011,R01C01,Plate_13,A02,Male
7849599,206675210011,R02C01,Plate_13,B02,Male
7849623,206675210011,R03C01,Plate_13,C02,Female
7849714,206675210011,R04C01,Plate_13,D02,Male
7837719,206675210011,R05C01,Plate_13,E02,Male
7837743,206675210011,R06C01,Plate_13,F02,Male
7837776,206675210011,R07C01,Plate_13,G02,Male
7837800,206675210011,R08C01,Plate_13,H02,Male
7837834,206680910014,R01C01,Plate_13,A03,Male
7837867,206680910014,R02C01,Plate_13,B03,Male
7837891,206680910014,R03C01,Plate_13,C03,Male
7849656,206680910014,R04C01,Plate_13,D03,Male
7849680,206680910014,R05C01,Plate_13,E03,Female
7849755,206680910014,R06C01,Plate_13,F03,Female
7850738,206680910014,R07C01,Plate_13,G03,Male
7838923,206680910014,R08C01,Plate_13,H03,Male
7839632,206675210024,R01C01,Plate_13,A04,Male
7839665,206675210024,R02C01,Plate_13,B04,Male
7839699,206675210024,R03C01,Plate_13,C04,Male
7839723,206675210024,R04C01,Plate_13,D04,Male
7839756,206675210024,R05C01,Plate_13,E04,Male
7839780,206675210024,R06C01,Plate_13,F04,Male
7839814,206675210024,R07C01,Plate_13,G04,Male
7849789,206675210024,R08C01,Plate_13,H04,Female
7849813,206649210045,R01C01,Plate_13,A05,Male
7849847,206649210045,R02C01,Plate_13,B05,Male
7849870,206649210045,R03C01,Plate_13,C05,Male
7849904,206649210045,R04C01,Plate_13,D05,Male
7849938,206649210045,R05C01,Plate_13,E05,Female
7848401,206649210045,R06C01,Plate_13,F05,Male
7838956,206649210045,R07C01,Plate_13,G05,Female
7838980,206649210045,R08C01,Plate_13,H05,Male
7839012,206680900172,R01C01,Plate_13,A06,Male
7839046,206680900172,R02C01,Plate_13,B06,Male
7839079,206680900172,R03C01,Plate_13,C06,Male
7839103,206680900172,R04C01,Plate_13,D06,Male
7839855,206680900172,R05C01,Plate_13,E06,Male
7848286,206680900172,R06C01,Plate_13,F06,Male
7848310,206680900172,R07C01,Plate_13,G06,Male
7848344,206680900172,R08C01,Plate_13,H06,Male
7848377,206680900173,R01C01,Plate_13,A07,Male
7848435,206680900173,R02C01,Plate_13,B07,Female
7850431,206680900173,R03C01,Plate_13,C07,Female
7838196,206680900173,R04C01,Plate_13,D07,Male
7840127,206680900173,R05C01,Plate_13,E07,Female
7840150,206680900173,R06C01,Plate_13,F07,Male
7840184,206680900173,R07C01,Plate_13,G07,Male
7840218,206680900173,R08C01,Plate_13,H07,Male
7840242,206680900179,R01C01,Plate_13,A08,Male
7840275,206680900179,R02C01,Plate_13,B08,Female
7848468,206680900179,R03C01,Plate_13,C08,Male
7848492,206680900179,R04C01,Plate_13,D08,Female
7850464,206680900179,R05C01,Plate_13,E08,Female
7850498,206680900179,R06C01,Plate_13,F08,Male
7850548,206680900179,R07C01,Plate_13,G08,Male
7850761,206680900179,R08C01,Plate_13,H08,Male
7850795,206680900124,R01C01,Plate_13,A09,Female
7850829,206680900124,R02C01,Plate_13,B09,Male
7850852,206680900124,R03C01,Plate_13,C09,Male
7850886,206680900124,R04C01,Plate_13,D09,Female
7814981,206680900124,R05C01,Plate_13,E09,Male
7815012,206680900124,R06C01,Plate_13,F09,Female
7815046,206680900124,R07C01,Plate_13,G09,Male
7815079,206680900124,R08C01,Plate_13,H09,Male
7815103,206680910026,R01C01,Plate_13,A10,Male
7815137,206680910026,R02C01,Plate_13,B10,Male
7838436,206680910026,R03C01,Plate_13,C10,Male
7838469,206680910026,R04C01,Plate_13,D10,Male
7838493,206680910026,R05C01,Plate_13,E10,Male
7838527,206680910026,R06C01,Plate_13,F10,Male
7838550,206680910026,R07C01,Plate_13,G10,Male
7838584,206680910026,R08C01,Plate_13,H10,Female
7838618,206680900146,R01C01,Plate_13,A11,Male
7838642,206680900146,R02C01,Plate_13,B11,Male
7840317,206680900146,R03C01,Plate_13,C11,Male
7840358,206680900146,R04C01,Plate_13,D11,Male
7840416,206680900146,R05C01,Plate_13,E11,Male
7840440,206680900146,R06C01,Plate_13,F11,Male
7840473,206680900146,R07C01,Plate_13,G11,Male
7840507,206680900146,R08C01,Plate_13,H11,Male
7840531,206680900157,R01C01,Plate_13,A12,Male
7840564,206680900157,R02C01,Plate_13,B12,Male
7849235,206680900157,R03C01,Plate_13,C12,Male
7849268,206680900157,R04C01,Plate_13,D12,Male
7849292,206680900157,R05C01,Plate_13,E12,Female
7850571,206680900157,R06C01,Plate_13,F12,Male
7849326,206680900157,R07C01,Plate_13,G12,Male
7849359,206680900157,R08C01,Plate_13,H12,Male
7849383,206680910002,R01C01,Plate_14,A01,Female
7849417,206680910002,R02C01,Plate_14,B01,Male
7849441,206680910002,R03C01,Plate_14,C01,Male
7850613,206680910002,R04C01,Plate_14,D01,Female
7850647,206680910002,R05C01,Plate_14,E01,Female
7854037,206680910002,R06C01,Plate_14,F01,Male
7854060,206680910002,R07C01,Plate_14,G01,Male
7854094,206680910002,R08C01,Plate_14,H01,Male
7854128,206680910003,R01C01,Plate_14,A02,Female
7854151,206680910003,R02C01,Plate_14,B02,Female
7854276,206680910003,R03C01,Plate_14,C02,Female
7873474,206680910003,R04C01,Plate_14,D02,Male
7833874,206680910003,R05C01,Plate_14,E02,Female
7833908,206680910003,R06C01,Plate_14,F02,Male
7833932,206680910003,R07C01,Plate_14,G02,Female
7833965,206680910003,R08C01,Plate_14,H02,Male
7833999,206680910015,R01C01,Plate_14,A03,Female
7834021,206680910015,R02C01,Plate_14,B03,Male
7834054,206680910015,R03C01,Plate_14,C03,Male
7834088,206680910015,R04C01,Plate_14,D03,Male
7834591,206680910015,R05C01,Plate_14,E03,Female
7834625,206680910015,R06C01,Plate_14,F03,Male
7834658,206680910015,R07C01,Plate_14,G03,Male
7834682,206680910015,R08C01,Plate_14,H03,Male
7834716,206680910043,R01C01,Plate_14,A04,Female
7853310,206680910043,R02C01,Plate_14,B04,Male
7853559,206680910043,R03C01,Plate_14,C04,Female
7853583,206680910043,R04C01,Plate_14,D04,Male
7853617,206680910043,R05C01,Plate_14,E04,Male
7853641,206680910043,R06C01,Plate_14,F04,Male
7853674,206680910043,R07C01,Plate_14,G04,Male
7854185,206680910043,R08C01,Plate_14,H04,Male
7854219,206680910046,R01C01,Plate_14,A05,Male
7854243,206680910046,R02C01,Plate_14,B05,Male
7854300,206680910046,R03C01,Plate_14,C05,Female
7854334,206680910046,R04C01,Plate_14,D05,Female
7854367,206680910046,R05C01,Plate_14,E05,Female
7854391,206680910046,R06C01,Plate_14,F05,Male
7854425,206680910046,R07C01,Plate_14,G05,Male
7854458,206680910046,R08C01,Plate_14,H05,Male
7854482,206680910048,R01C01,Plate_14,A06,Male
7835317,206680910048,R02C01,Plate_14,B06,Male
7835341,206680910048,R03C01,Plate_14,C06,Female
7835374,206680910048,R04C01,Plate_14,D06,Female
7835432,206680910048,R05C01,Plate_14,E06,Male
7841919,206680910048,R06C01,Plate_14,F06,Female
7841943,206680910048,R07C01,Plate_14,G06,Male
7841976,206680910048,R08C01,Plate_14,H06,Male
7842008,206680900151,R01C01,Plate_14,A07,Female
7844228,206680900151,R02C01,Plate_14,B07,Male
